frequency;type;WT
0.101712873035494;1;1
0.198746247571958;1;2
0.108864559420802;1;3
0.132350344340456;1;4
0.259491435634823;1;5
0.00061804697157;1;6
0.111248454882571;1;7
0.086614868444288;1;8
0.015852047556143;2;1
0.268163804491413;2;2
0.128137384412153;2;3
0.184940554821664;2;4
0.100396301188904;2;5
0;2;6
0.063408190224571;2;7
0.239101717305152;2;8
0;3;1
0.19047619047619;3;2
0.095238095238095;3;3
0.261904761904762;3;4
0.047619047619048;3;5
0;3;6
0.047619047619048;3;7
0.357142857142857;3;8
